rank,prev_rank,name,league,off,def,spi
411,417,Ipswich Town,English League One,0.98,1.51,33.21
412,412,Real Zaragoza,Spanish Segunda Division,1.06,1.63,33.11
413,411,VVV Venlo,Dutch Eredivisie,1.15,1.75,32.92
414,414,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.05,1.63,32.75
415,428,Vejle,Danish SAS-Ligaen,1.13,1.74,32.67
416,416,Shenzhen FC,Chinese Super League,1.19,1.81,32.64
417,423,Valenciennes,French Ligue 2,0.84,1.35,32.55
418,421,SpVgg Greuther Fürth,German 2. Bundesliga,1.03,1.61,32.5
419,433,Karlsruher SC,German 2. Bundesliga,1.03,1.63,32.25
420,441,San Jose Earthquakes,Major League Soccer,1.25,1.92,32.23
421,438,VfL Osnabruck,German 2. Bundesliga,1.08,1.69,32.21
422,413,VfL Bochum,German 2. Bundesliga,1.05,1.66,32.09
423,443,Mirandes,Spanish Segunda Division,0.99,1.58,32.09
424,459,Sonderjyske,Danish SAS-Ligaen,1.07,1.7,31.95
425,425,Perth Glory,Australian A-League,1.09,1.72,31.9
426,429,Newcastle Jets,Australian A-League,1.11,1.76,31.86
427,454,Fortuna Sittard,Dutch Eredivisie,1.18,1.84,31.84
428,465,SD Ponferradina,Spanish Segunda Division,0.92,1.5,31.77
429,430,Empoli,Italy Serie B,1.06,1.69,31.74
430,415,Real Oviedo,Spanish Segunda Division,0.87,1.44,31.65
431,435,Louisville City FC,United Soccer League,1.07,1.71,31.55
432,442,ADO Den Haag,Dutch Eredivisie,1.15,1.83,31.48
433,422,Nashville SC,Major League Soccer,0.91,1.5,31.41
434,410,Pittsburgh Riverhounds,United Soccer League,0.98,1.6,31.39
435,439,Castellon,Spanish Segunda Division,0.98,1.61,31.26
436,436,Genclerbirligi,Turkish Turkcell Super Lig,0.93,1.55,31.26
437,427,Grenoble,French Ligue 2,0.93,1.55,31.23
438,426,FC Vaduz,Swiss Raiffeisen Super League,0.98,1.62,31.19
439,449,Ankaragucu,Turkish Turkcell Super Lig,0.93,1.57,30.86
440,431,Valerenga,Norwegian Tippeligaen,1.05,1.74,30.82
